sec,time,waiting_time_min
80978.0,22:29:38,43.652680443570475
80979.0,22:29:39,43.652680443570475
80980.0,22:29:40,42.77085634857334
80981.0,22:29:41,42.77085634857334
80982.0,22:29:42,41.925394861014986
80983.0,22:29:43,41.925394861014986
80984.0,22:29:44,41.03763871229579
80985.0,22:29:45,41.03763871229579
80986.0,22:29:46,40.47433596761136
80987.0,22:29:47,40.47433596761136
80988.0,22:29:48,40.38429737551075
80989.0,22:29:49,40.38429737551075
80990.0,22:29:50,40.27145861105334
80991.0,22:29:51,40.27145861105334
80992.0,22:29:52,40.20196683820565
80993.0,22:29:53,40.355525689128264
80994.0,22:29:54,40.355525689128264
80995.0,22:29:55,39.763705534037825
80996.0,22:29:56,39.763705534037825
80997.0,22:29:57,39.968408168962924
80998.0,22:29:58,39.968408168962924
80999.0,22:29:59,39.34063727753576
81000.0,22:30:00,39.34063727753576
81001.0,22:30:01,39.49946666613663
81002.0,22:30:02,39.49946666613663
81003.0,22:30:03,38.96518146510061
81004.0,22:30:04,38.96518146510061
81005.0,22:30:05,39.126800414984366
81006.0,22:30:06,39.126800414984366
81007.0,22:30:07,38.98449313739984
81008.0,22:30:08,38.98449313739984
81009.0,22:30:09,39.17140036407921
81010.0,22:30:10,39.11592312090118
81011.0,22:30:11,39.11592312090118
81012.0,22:30:12,39.336617870551954
81013.0,22:30:13,39.336617870551954
81014.0,22:30:14,39.32936054305343
81015.0,22:30:15,39.32936054305343
81016.0,22:30:16,39.32936054305343
81017.0,22:30:17,39.420689052101324
81018.0,22:30:18,39.086853877876514
81019.0,22:30:19,39.086853877876514
81020.0,22:30:20,39.086853877876514
81021.0,22:30:21,39.086853877876514
81022.0,22:30:22,39.086853877876514
81023.0,22:30:23,39.086853877876514
81024.0,22:30:24,38.72307883835577
81025.0,22:30:25,38.45410920232389
81026.0,22:30:26,38.45410920232389
81027.0,22:30:27,38.45410920232389
81028.0,22:30:28,38.45410920232389
81029.0,22:30:29,38.45410920232389
81030.0,22:30:30,38.45410920232389
81031.0,22:30:31,38.45410920232389
